code,name,definition,source,has_definition,num_synonyms
O75.5,Delayed delivery after artificial rupture of membranes,Delayed delivery after artificial rupture of membranes,ICD10_XML,False,4
O75.6,Delayed delivery after spontaneous or unspecified rupture of membranes,Delayed delivery after spontaneous or unspecified rupture of membranes,ICD10_XML,False,2
O75.7,Vaginal delivery following previous caesarean section,Vaginal delivery following previous caesarean section,ICD10_XML,False,2
O75.8,Other specified complications of labour and delivery,Other specified complications of labor and delivery; Other specified complications of labour and delivery,ICD10_XML,False,4
O75.9,"Complication of labour and delivery, unspecified","Complication of labor and delivery, unspecified; Complication of labour and delivery, unspecified. The occurrence of a pregnancy complication during childbirth, which includes both labor (the process of childbirth) and delivery (the birth itself).",NCI,True,4
O80,Single spontaneous delivery,"Single spontaneous delivery; Encounter for full-term uncomplicated delivery; Delivery requiring minimal or no assistance, with or without episiotomy, without fetal manipulation [e.g., rotation version] or instrumentation [forceps] of a spontaneous, cephalic, vaginal, full-term, single, live-born infant. This code is for use as a single diagnosis code and is not to be used with any other code from chapter 15.",ICD10_XML,False,5
O80.0,Spontaneous vertex delivery,Spontaneous vertex delivery,ICD10_XML,False,1
O80.1,Spontaneous breech delivery,Spontaneous breech delivery,ICD10_XML,False,1
O80.8,Other single spontaneous delivery,Other single spontaneous delivery,ICD10_XML,False,1
O80.9,"Single spontaneous delivery, unspecified","Single spontaneous delivery, unspecified",ICD10_XML,False,1
O81,Single delivery by forceps and vacuum extractor,Single delivery by forceps and vacuum extractor,ICD10_XML,False,2
O81.0,Low forceps delivery,Low forceps delivery,ICD10_XML,False,1
O81.1,Mid-cavity forceps delivery,Mid-cavity forceps delivery,ICD10_XML,False,1
O81.2,Mid-cavity forceps with rotation,Mid-cavity forceps with rotation,ICD10_XML,False,1
O81.3,Other and unspecified forceps delivery,Other and unspecified forceps delivery,ICD10_XML,False,1
O81.4,Vacuum extractor delivery,Vacuum extractor delivery,ICD10_XML,False,1
O81.5,Delivery by combination of forceps and vacuum extractor,Delivery by combination of forceps and vacuum extractor,ICD10_XML,False,1
O82,Single delivery by caesarean section,Single delivery by caesarean section; Encounter for cesarean delivery without indication,ICD10_XML,False,4
O82.0,Delivery by elective caesarean section,Delivery by elective caesarean section,ICD10_XML,False,1
O82.1,Delivery by emergency caesarean section,Delivery by emergency caesarean section,ICD10_XML,False,1
O82.2,Delivery by caesarean hysterectomy,Delivery by caesarean hysterectomy,ICD10_XML,False,1
O82.8,Other single delivery by caesarean section,Other single delivery by caesarean section,ICD10_XML,False,1
O82.9,"Delivery by caesarean section, unspecified","Delivery by caesarean section, unspecified. Extraction of the FETUS by means of abdominal HYSTEROTOMY.",MSH,True,1
O83,Other assisted single delivery,Other assisted single delivery,ICD10_XML,False,1
O83.0,Breech extraction,Breech extraction. The delivery of a breech-presenting fetus with that is manually pulled through the birth canal.,NCI,True,1
O83.1,Other assisted breech delivery,Other assisted breech delivery,ICD10_XML,False,1
O83.2,Other manipulation-assisted delivery,Other manipulation-assisted delivery,ICD10_XML,False,1
O83.3,Delivery of viable fetus in abdominal pregnancy,Delivery of viable fetus in abdominal pregnancy,ICD10_XML,False,1
O83.4,Destructive operation for delivery,Destructive operation for delivery. Extraction of a fetus through the cervix using destructive surgical techniques.,NCI,True,1
O83.8,Other specified assisted single delivery,Other specified assisted single delivery,ICD10_XML,False,1
O83.9,"Assisted single delivery, unspecified","Assisted single delivery, unspecified",ICD10_XML,False,1
O84,Multiple delivery,Multiple delivery,ICD10_XML,False,1
O84.0,"Multiple delivery, all spontaneous","Multiple delivery, all spontaneous",ICD10_XML,False,1
O84.1,"Multiple delivery, all by forceps and vacuum extractor","Multiple delivery, all by forceps and vacuum extractor",ICD10_XML,False,1
O84.2,"Multiple delivery, all by caesarean section","Multiple delivery, all by caesarean section",ICD10_XML,False,1
O84.8,Other multiple delivery,Other multiple delivery,ICD10_XML,False,1
O84.9,"Multiple delivery, unspecified","Multiple delivery, unspecified",ICD10_XML,False,1
O85,Puerperal sepsis,Puerperal peritonitis; Puerperal sepsis; Postpartum sepsis; Puerperal pyemia,ICD10_XML,False,7
O86,Other puerperal infections,Other puerperal infections,ICD10_XML,False,4
O86.0,Infection of obstetric surgical wound,Infection of obstetric surgical wound; Infected cesarean delivery wound following delivery; Infected perineal repair following delivery,ICD10_XML,False,6
O86.1,Other infection of genital tract following delivery,Other infection of genital tract following delivery,ICD10_XML,False,4
O86.2,Urinary tract infection following delivery,Urinary tract infection following delivery,ICD10_XML,False,4
O86.3,Other genitourinary tract infections following delivery,Other genitourinary tract infections following delivery,ICD10_XML,False,2
O86.4,Pyrexia of unknown origin following delivery,Pyrexia of unknown origin following delivery; Puerperal infection NOS following delivery; Puerperal pyrexia NOS following delivery,ICD10_XML,False,6
O86.8,Other specified puerperal infections,Other specified puerperal infections,ICD10_XML,False,4
O87,Venous complications and haemorrhoids in the puerperium,"Venous complications in the puerperium; Venous complications and hemorrhoids in the puerperium; venous complications in labor, delivery and the puerperium",ICD10_XML,False,5
O87.0,Superficial thrombophlebitis in the puerperium,Superficial thrombophlebitis in the puerperium; Puerperal thrombosis NOS; Puerperal phlebitis NOS,ICD10_XML,False,6
O87.1,Deep phlebothrombosis in the puerperium,"Pelvic thrombophlebitis, postpartum; Deep vein thrombosis, postpartum; Deep phlebothrombosis in the puerperium",ICD10_XML,False,6
O87.2,Haemorrhoids in the puerperium,Haemorrhoids in the puerperium; Hemorrhoids in the puerperium,ICD10_XML,False,4
O87.3,Cerebral venous thrombosis in the puerperium,Cerebral venous thrombosis in the puerperium; Cerebrovenous sinus thrombosis in the puerperium,ICD10_XML,False,5
O87.8,Other venous complications in the puerperium,Other venous complications in the puerperium; Genital varices in the puerperium,ICD10_XML,False,5
O87.9,"Venous complication in the puerperium, unspecified","Venous complication in the puerperium, unspecified; Puerperal phlebopathy NOS",ICD10_XML,False,5
O88,Obstetric embolism,Obstetric embolism,ICD10_XML,False,4
O88.0,Obstetric air embolism,Obstetric air embolism,ICD10_XML,False,4
O88.1,Amniotic fluid embolism,Amniotic fluid embolism; Anaphylactoid syndrome in pregnancy. Blocking of maternal circulation by AMNIOTIC FLUID that is forced into uterine VEINS by strong UTERINE CONTRACTION near the end of pregnancy. It is characterized by the sudden onset of severe respiratory distress and HYPOTENSION that can lead to maternal DEATH.,MSH,True,5
O88.2,Obstetric blood-clot embolism,Obstetric blood-clot embolism; Obstetric thromboembolism,ICD10_XML,False,4
O88.3,Obstetric pyaemic and septic embolism,Obstetric pyemic and septic embolism; Obstetric pyaemic and septic embolism,ICD10_XML,False,4
O88.8,Other obstetric embolism,Obstetric fat embolism; Other obstetric embolism,ICD10_XML,False,5
O89,Complications of anaesthesia during the puerperium,"maternal complications arising from the administration of a general, regional or local anesthetic, analgesic or other sedation during the puerperium; Complications of anaesthesia during the puerperium; Complications of anesthesia during the puerperium",ICD10_XML,False,5
O89.0,Pulmonary complications of anaesthesia during the puerperium,Pulmonary complications of anesthesia during the puerperium; Pulmonary complications of anaesthesia during the puerperium,ICD10_XML,False,4
O89.1,Cardiac complications of anaesthesia during the puerperium,Cardiac complications of anaesthesia during the puerperium; Cardiac complications of anesthesia during the puerperium,ICD10_XML,False,4
O89.2,Central nervous system complications of anaesthesia during the puerperium,Central nervous system complications of anaesthesia during the puerperium; Central nervous system complications of anesthesia during the puerperium; Cnsl complications of anesthesia during the puerperium,ICD10_XML,False,4
O89.3,Toxic reaction to local anaesthesia during the puerperium,Toxic reaction to local anesthesia during the puerperium; Toxic reaction to local anaesthesia during the puerperium,ICD10_XML,False,4
O89.4,Spinal and epidural anaesthesia-induced headache during the puerperium,Spinal and epidural anesthesia-induced headache during the puerperium; Spinal and epidural anaesthesia-induced headache during the puerperium; Spinal and epidur anesthesia-induced hdache during the puerp,ICD10_XML,False,4
O89.5,Other complications of spinal and epidural anaesthesia during the puerperium,Other complications of spinal and epidural anesthesia during the puerperium; Other complications of spinal and epidural anaesthesia during the puerperium; Oth comp of spinal and epidural anesth during the puerperium,ICD10_XML,False,4
O89.6,Failed or difficult intubation during the puerperium,Failed or difficult intubation during the puerperium; Failed or difficult intubation for anesthesia during the puerperium; Failed or difficult intubation for anesth during the puerp,ICD10_XML,False,4
O89.8,Other complications of anaesthesia during the puerperium,Other complications of anesthesia during the puerperium; Other complications of anaesthesia during the puerperium,ICD10_XML,False,4
O89.9,"Complication of anaesthesia during the puerperium, unspecified","Complication of anesthesia during the puerperium, unspecified; Complication of anaesthesia during the puerperium, unspecified; Complication of anesthesia during the puerperium, unsp",ICD10_XML,False,4
O90,"Complications of the puerperium, not elsewhere classified","Complications of the puerperium, not elsewhere classified",ICD10_XML,False,4
O90.0,Disruption of caesarean section wound,"Dehiscence of cesarean delivery wound; Disruption of cesarean delivery wound; Disruption of caesarean section wound. Asymptomatic separation of the uterine wall, usually at the site of a prior uterine scar, that does not include the overlying serosa.",NCI,True,5
O90.1,Disruption of perineal obstetric wound,Secondary perineal tear; Disruption of perineal obstetric wound; Disruption of wound of perineal laceration; Disruption of wound of episiotomy,ICD10_XML,False,7
O90.2,Haematoma of obstetric wound,Hematoma of obstetric wound; Haematoma of obstetric wound,ICD10_XML,False,4
O90.3,Cardiomyopathy in the puerperium,Cardiomyopathy in the puerperium; Peripartum cardiomyopathy; Conditions in I42.- arising during pregnancy and the puerperium. A rare form of dilated cardiomyopathy which causes heart enlargement and weakness during the last month of pregnancy or within five months of delivery.,MSH,True,5
O90.4,Postpartum acute renal failure,"Postpartum acute renal failure; Postpartum acute kidney failure. Renal failure that occurs postpartum due to any partum problem (hemorrhage, sepsis, preeclampsia).",NCI,True,4
O90.5,Postpartum thyroiditis,"Postpartum thyroiditis. Transient autoimmune thyroiditis occurring in the POSTPARTUM PERIOD. It is characterized by the presence of high titers of AUTOANTIBODIES against THYROID PEROXIDASE and THYROGLOBULIN. Clinical signs include the triphasic thyroid hormone pattern: beginning with THYROTOXICOSIS, followed with HYPOTHYROIDISM, then return to euthyroid state by 1 year postpartum.",MSH,True,4
O90.8,"Other complications of the puerperium, not elsewhere classified","Other complications of the puerperium, not elsewhere classified; Oth complications of the puerperium, NEC",ICD10_XML,False,4
O90.9,"Complication of the puerperium, unspecified","Complication of the puerperium, unspecified",ICD10_XML,False,4
O91,Infections of breast associated with childbirth,"Infections of breast associated with childbirth; Infections of breast associated with pregnancy, the puerperium and lactation; Infect of breast assoc w pregnancy, the puerp and lactation",ICD10_XML,False,4
O91.0,Infection of nipple associated with childbirth,"Infection of nipple associated with childbirth; Infection of nipple associated with pregnancy, the puerperium and lactation; Infct of nipple assoc w pregnancy, the puerp and lactation",ICD10_XML,False,4
O91.1,Abscess of breast associated with childbirth,"Abscess of breast associated with childbirth; Abscess of breast associated with pregnancy, the puerperium and lactation; Abscess of breast assoc w pregnancy, the puerp and lactation",ICD10_XML,False,4
O91.2,Nonpurulent mastitis associated with childbirth,"Nonpurulent mastitis associated with childbirth; Nonpurulent mastitis associated with pregnancy, the puerperium and lactation; Nonpurulent mastitis assoc w preg, the puerp and lactation",ICD10_XML,False,4
O92,Other disorders of breast and lactation associated with childbirth,Other disorders of breast and lactation associated with childbirth; Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium; Oth disord of brst/lactatn assoc w pregnancy and the puerp,ICD10_XML,False,4
O92.0,Retracted nipple associated with childbirth,"Retracted nipple associated with childbirth; Retracted nipple associated with pregnancy, the puerperium, and lactation; Retracted nipple assoc w pregnancy, the puerp, and lactation",ICD10_XML,False,4
O92.1,Cracked nipple associated with childbirth,"Cracked nipple associated with childbirth; Fissure of nipple, gestational or puerperal; Cracked nipple associated with pregnancy, the puerperium, and lactation; Cracked nipple assoc w pregnancy, the puerp, and lactation",ICD10_XML,False,5
O92.2,Other and unspecified disorders of breast associated with childbirth,Other and unspecified disorders of breast associated with childbirth; Other and unspecified disorders of breast associated with pregnancy and the puerperium; Oth and unsp disord of breast assoc w preg and the puerp,ICD10_XML,False,4
O92.3,Agalactia,Agalactia; Primary agalactia. Lack of production or secretion of breast milk.,NCI,True,5
O92.4,Hypogalactia,Hypogalactia. A condition of less than normal MILK secretion.,MSH,True,4
O92.5,Suppressed lactation,Suppressed lactation; Elective agalactia; Secondary agalactia; Therapeutic agalactia,ICD10_XML,False,7
O92.6,Galactorrhoea,Galactorrhea; Galactorrhoea,ICD10_XML,False,4
O92.7,Other and unspecified disorders of lactation,Other and unspecified disorders of lactation,ICD10_XML,False,4
O94,"Sequelae of complication of pregnancy, childbirth and the puerperium","Sequelae of complication of pregnancy, childbirth, and the puerperium; Sequelae of comp of pregnancy, chldbrth, and the puerperium",ICD10_XML,False,2
O95,Obstetric death of unspecified cause,Obstetric death of unspecified cause,ICD10_XML,False,2
O96,Death from any obstetric cause occurring more than 42 days but less than one year after delivery,Death from any obstetric cause occurring more than 42 days but less than one year after delivery,ICD10_XML,False,2
O96.0,Death from direct obstetric cause occurring more                 than 42 days but less than one year after delivery,Death from direct obstetric cause occurring more                 than 42 days but less than one year after delivery,ICD10_XML,False,0
O96.1,Death from indirect obstetric cause occurring more                 than 42 days but less than one year after delivery,Death from indirect obstetric cause occurring more                 than 42 days but less than one year after delivery,ICD10_XML,False,0
O96.9,Death from unspecified obstetric cause occurring more than 42 days but less than one year after delivery,Death from unspecified obstetric cause occurring more than 42 days but less than one year after delivery,ICD10_XML,False,0
O97,Death from sequelae of obstetric causes,Death from sequelae of direct obstetric causes,ICD10_XML,False,2
O97.0,Death from sequelae of direct obstetric cause,Death from sequelae of direct obstetric cause,ICD10_XML,False,0
O97.1,Death from sequelae of indirect obstetric cause,Death from sequelae of indirect obstetric cause,ICD10_XML,False,0
O97.9,"Death from sequelae of obstetric cause, unspecified","Death from sequelae of obstetric cause, unspecified",ICD10_XML,False,0
O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium; Matern infec/parastc dis classd elsw but compl preg/chldbrth; the listed conditions when complicating the pregnant state, when aggravated by the pregnancy, or as a reason for obstetric care",ICD10_XML,False,5
O98.0,"Tuberculosis complicating pregnancy, childbirth and the puerperium","Tuberculosis complicating pregnancy, childbirth and the puerperium; Tuberculosis compl preg/chldbrth; Conditions in A15-A19",ICD10_XML,False,5
O98.1,"Syphilis complicating pregnancy, childbirth and the puerperium","Syphilis complicating pregnancy, childbirth and the puerperium; Syphilis compl preg/chldbrth; Conditions in A50-A53",ICD10_XML,False,5
O98.2,"Gonorrhoea complicating pregnancy, childbirth and the puerperium","Gonorrhea complicating pregnancy, childbirth and the puerperium; Gonorrhoea complicating pregnancy, childbirth and the puerperium; Gonorrhea compl preg/chldbrth; Conditions in A54.-",ICD10_XML,False,5
O98.3,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth and the puerperium","Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth and the puerperium; Oth infections w sexl mode of transmiss compl preg/chldbrth; Conditions in A55-A64",ICD10_XML,False,5
O98.4,"Viral hepatitis complicating pregnancy, childbirth and the puerperium","Viral hepatitis complicating pregnancy, childbirth and the puerperium; Viral hepatitis compl preg/chldbrth; Conditions in B15-B19",ICD10_XML,False,5
O98.5,"Other viral diseases complicating pregnancy, childbirth and the puerperium","Other viral diseases complicating pregnancy, childbirth and the puerperium; Oth viral diseases compl preg/chldbrth; Conditions in A80-B09, B25-B34, R87.81-, R87.82-",ICD10_XML,False,5
O98.6,"Protozoal diseases complicating pregnancy, childbirth and the puerperium","Protozoal diseases complicating pregnancy, childbirth and the puerperium; Protozoal diseases compl preg/chldbrth; Conditions in B50-B64",ICD10_XML,False,5
O98.7,"Human immunodeficiency virus [HIV] disease complicating pregnancy, childbirth and the puerperium","Human immunodeficiency virus [HIV] disease complicating pregnancy, childbirth and the puerperium; Human immunodeficiency virus disease compl preg/chldbrth",ICD10_XML,False,2
O98.8,"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium","Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium; Oth maternal infec/parastc diseases compl preg/chldbrth",ICD10_XML,False,4
O98.9,"Unspecified maternal infectious or parasitic disease complicating pregnancy, childbirth and the puerperium","Unspecified maternal infectious or parasitic disease complicating pregnancy, childbirth and the puerperium; Unspecified maternal infectious and parasitic disease complicating pregnancy, childbirth and the puerperium; Unsp maternal infec/parastc disease compl preg/chldbrth",ICD10_XML,False,4
O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium; Oth maternal diseases classd elsw but compl preg/chldbrth; conditions which complicate the pregnant state, are aggravated by the pregnancy or are a main reason for obstetric care",ICD10_XML,False,5
O99.0,"Anaemia complicating pregnancy, childbirth and the puerperium","Anemia complicating pregnancy, childbirth and the puerperium; Anaemia complicating pregnancy, childbirth and the puerperium; Conditions in D50-D64",ICD10_XML,False,5
O99.1,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium","Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium; Other dis blood/immune compl preg/childbrth; Conditions in D65-D89",ICD10_XML,False,5
O99.2,"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium","Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium; Endo, nutritional and metabolic diseases compl preg/chldbrth; Conditions in E00-E89",ICD10_XML,False,5
O99.3,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium","Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium; Mental disord and dis of the nervous sys compl preg/chldbrth",ICD10_XML,False,4
O99.4,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium","Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium; Diseases of the circulatory system compl preg/chldbrth; Conditions in I00-I99",ICD10_XML,False,5
O99.5,"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium","Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium; Diseases of the respiratory system compl preg/chldbrth; Conditions in J00-J99",ICD10_XML,False,5
O99.6,"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium","Diseases of the digestive system complicating pregnancy, childbirth and the puerperium; Diseases of the digestive system compl preg/chldbrth; Conditions in K00-K93",ICD10_XML,False,5
O99.7,"Diseases of the skin and subcutaneous tissue complicating pregnancy, childbirth and the puerperium","Diseases of the skin and subcutaneous tissue complicating pregnancy, childbirth and the puerperium; Diseases of the skin, subcu compl preg/chldbrth; Conditions in L00-L99",ICD10_XML,False,5
O99.8,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium","Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium; Oth diseases and conditions compl preg/chldbrth; Conditions in D00-D48, H00-H95, M00-N99, and Q00-Q99",ICD10_XML,False,5
P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy; Newborn affected by maternal conditions that may be unrelated to present pregnancy; NB aff by matern cond that may be unrelated to present preg,ICD10_XML,False,4
P00.0,Fetus and newborn affected by maternal hypertensive disorders,"Fetus and newborn affected by maternal hypertensive disorders; Newborn affected by maternal hypertensive disorders; Newborn affected by maternal conditions classifiable to O10-O11, O13-O16",ICD10_XML,False,5
P00.1,Fetus and newborn affected by maternal renal and urinary tract diseases,Fetus and newborn affected by maternal renal and urinary tract diseases; Newborn affected by maternal renal and urinary tract diseases; Newborn aff by maternal renal and urinary tract diseases; Newborn affected by maternal conditions classifiable to N00-N39,ICD10_XML,False,5
P00.2,Fetus and newborn affected by maternal infectious and parasitic diseases,"Fetus and newborn affected by maternal infectious and parasitic diseases; Newborn affected by maternal infectious and parasitic diseases; Newborn affected by maternal infec/parastc diseases; Newborn affected by maternal infectious disease classifiable to A00-B99, J09 and J10",ICD10_XML,False,5
P00.3,Fetus and newborn affected by other maternal circulatory and respiratory diseases,"Fetus and newborn affected by other maternal circulatory and respiratory diseases; Newborn affected by other maternal circulatory and respiratory diseases; Newborn affected by other maternal circ and resp diseases; Newborn affected by maternal conditions classifiable to I00-I99, J00-J99, Q20-Q34 and not included in P00.0, P00.2",ICD10_XML,False,5
P00.4,Fetus and newborn affected by maternal nutritional disorders,Fetus and newborn affected by maternal nutritional disorders; Maternal malnutrition NOS; Newborn affected by maternal nutritional disorders; Newborn affected by maternal disorders classifiable to E40-E64,ICD10_XML,False,6
P00.5,Fetus and newborn affected by maternal injury,Fetus and newborn affected by maternal injury; Newborn affected by maternal injury; Newborn affected by maternal conditions classifiable to O9A.2-,ICD10_XML,False,5
P00.6,Fetus and newborn affected by surgical procedure on mother,Fetus and newborn affected by surgical procedure on mother; Newborn affected by amniocentesis; Newborn affected by surgical procedure on mother,ICD10_XML,False,5
P00.7,"Fetus and newborn affected by other medical procedures on mother, not elsewhere classified","Fetus and newborn affected by other medical procedures on mother, not elsewhere classified; Newborn affected by other medical procedures on mother, not elsewhere classified; Newborn affected by other medical procedures on mother, NEC; Newborn affected by radiation to mother",ICD10_XML,False,5
P00.8,Fetus and newborn affected by other maternal conditions,Fetus and newborn affected by other maternal conditions; Newborn affected by other maternal conditions,ICD10_XML,False,4
P00.9,Fetus and newborn affected by unspecified maternal condition,Fetus and newborn affected by unspecified maternal condition; Newborn affected by unspecified maternal condition,ICD10_XML,False,4
P01,Fetus and newborn affected by maternal complications of pregnancy,Fetus and newborn affected by maternal complications of pregnancy; Newborn affected by maternal complications of pregnancy,ICD10_XML,False,4
P01.0,Fetus and newborn affected by incompetent cervix,Fetus and newborn affected by incompetent cervix; Newborn affected by incompetent cervix,ICD10_XML,False,4
P01.1,Fetus and newborn affected by premature rupture of membranes,Fetus and newborn affected by premature rupture of membranes; Newborn affected by premature rupture of membranes,ICD10_XML,False,4
P01.2,Fetus and newborn affected by oligohydramnios,Fetus and newborn affected by oligohydramnios; Newborn affected by oligohydramnios,ICD10_XML,False,4
P01.3,Fetus and newborn affected by polyhydramnios,Fetus and newborn affected by polyhydramnios; Newborn affected by polyhydramnios; Newborn affected by hydramnios,ICD10_XML,False,5
P01.4,Fetus and newborn affected by ectopic pregnancy,Fetus and newborn affected by ectopic pregnancy; Newborn affected by ectopic pregnancy; Newborn affected by abdominal pregnancy,ICD10_XML,False,5
P01.5,Fetus and newborn affected by multiple pregnancy,Fetus and newborn affected by multiple pregnancy; Newborn affected by multiple pregnancy; Newborn affected by triplet (pregnancy); Newborn affected by twin (pregnancy),ICD10_XML,False,6
P01.6,Fetus and newborn affected by maternal death,Fetus and newborn affected by maternal death; Newborn affected by maternal death,ICD10_XML,False,4
P01.7,Fetus and newborn affected by malpresentation before labour,Fetus and newborn affected by malpresentation before labour; Newborn affected by malpresentation before labor; Newborn affected by breech presentation before labor; Newborn affected by external version before labor; Newborn affected by face presentation before labor,ICD10_XML,False,9
P01.8,Fetus and newborn affected by other maternal complications of pregnancy,Fetus and newborn affected by other maternal complications of pregnancy; Newborn affected by other maternal complications of pregnancy; Newborn affected by other maternal comp of pregnancy,ICD10_XML,False,4
P01.9,"Fetus and newborn affected by maternal complication of pregnancy, unspecified","Fetus and newborn affected by maternal complication of pregnancy, unspecified; Newborn affected by maternal complication of pregnancy, unspecified; Newborn affected by maternal comp of pregnancy, unspecified",ICD10_XML,False,4
P02,"Fetus and newborn affected by complications of placenta, cord and membranes","Fetus and newborn affected by complications of placenta, cord and membranes; Newborn affected by complications of placenta, cord and membranes; Newborn affected by comp of placenta, cord and membranes",ICD10_XML,False,4
P02.0,Fetus and newborn affected by placenta praevia,Newborn affected by placenta previa; Fetus and newborn affected by placenta praevia,ICD10_XML,False,4
P02.1,Fetus and newborn affected by other forms of placental separation and haemorrhage,Fetus and newborn affected by other forms of placental separation and haemorrhage; Newborn affected by other forms of placental separation and hemorrhage; Newborn affected by oth placental separation and hemorrhage; Newborn affected by abruptio placenta; Newborn affected by accidental hemorrhage,ICD10_XML,False,10
P02.2,Fetus and newborn affected by other and unspecified morphological and functional abnormalities of placenta,Fetus and newborn affected by other and unspecified morphological and functional abnormalities of placenta; Newborn affected by other and unspecified morphological and functional abnormalities of placenta; NB aff by oth and unsp morpholog and functn abnlt of plcnta,ICD10_XML,False,4
P02.3,Fetus and newborn affected by placental transfusion syndromes,Fetus and newborn affected by placental transfusion syndromes; Newborn affected by placental transfusion syndromes; Newborn affected by placental and cord abnormalities resulting in twin-to-twin or other transplacental transfusion,ICD10_XML,False,5
P02.4,Fetus and newborn affected by prolapsed cord,Fetus and newborn affected by prolapsed cord; Newborn affected by prolapsed cord,ICD10_XML,False,4
P02.5,Fetus and newborn affected by other compression of umbilical cord,Fetus and newborn affected by other compression of umbilical cord; Newborn affected by other compression of umbilical cord; Newborn affected by umbilical cord (tightly) around neck; Newborn affected by entanglement of umbilical cord; Newborn affected by knot in umbilical cord,ICD10_XML,False,7
P02.6,Fetus and newborn affected by other and unspecified conditions of umbilical cord,Fetus and newborn affected by other and unspecified conditions of umbilical cord; Newborn affected by other and unspecified conditions of umbilical cord; Newborn affected by other and unsp cond of umbilical cord,ICD10_XML,False,4
P02.7,Fetus and newborn affected by chorioamnionitis,Fetus and newborn affected by chorioamnionitis; Newborn affected by chorioamnionitis,ICD10_XML,False,4
P02.8,Fetus and newborn affected by other abnormalities of membranes,Fetus and newborn affected by other abnormalities of membranes; Newborn affected by other abnormalities of membranes,ICD10_XML,False,4
P02.9,"Fetus and newborn affected by abnormality of membranes, unspecified","Fetus and newborn affected by abnormality of membranes, unspecified; Newborn affected by abnormality of membranes, unspecified",ICD10_XML,False,4
P03,Fetus and newborn affected by other complications of labour and delivery,Fetus and newborn affected by other complications of labour and delivery; Newborn affected by other complications of labor and delivery; Newborn affected by other comp of labor and delivery,ICD10_XML,False,4
P03.0,Fetus and newborn affected by breech delivery and extraction,Fetus and newborn affected by breech delivery and extraction; Newborn affected by breech delivery and extraction,ICD10_XML,False,4
P03.1,"Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery","Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery; Newborn affected by other malpresentation, malposition and disproportion during labor and delivery; NB aff by oth malpresent, malpos & disproprtn dur labr & del; Newborn affected by transverse lie; Newborn affected by contracted pelvis",ICD10_XML,False,8
P03.2,Fetus and newborn affected by forceps delivery,Fetus and newborn affected by forceps delivery; Newborn affected by forceps delivery,ICD10_XML,False,4
P03.3,Fetus and newborn affected by delivery by vacuum extractor [ventouse],Fetus and newborn affected by delivery by vacuum extractor [ventouse]; Newborn affected by delivery by vacuum extractor [ventouse],ICD10_XML,False,4
P03.4,Fetus and newborn affected by caesarean delivery,Fetus and newborn affected by caesarean delivery; Newborn affected by Cesarean delivery,ICD10_XML,False,4
P03.5,Fetus and newborn affected by precipitate delivery,Fetus and newborn affected by precipitate delivery; Newborn affected by precipitate delivery; Newborn affected by rapid second stage,ICD10_XML,False,5
P03.6,Fetus and newborn affected by abnormal uterine contractions,"Fetus and newborn affected by abnormal uterine contractions; Newborn affected by abnormal uterine contractions; Newborn affected by conditions classifiable to O62.-, except O62.3; Newborn affected by hypertonic labor; Newborn affected by uterine inertia",ICD10_XML,False,7
P03.8,Fetus and newborn affected by other specified complications of labour and delivery,Fetus and newborn affected by other specified complications of labour and delivery; Newborn affected by other specified complications of labor and delivery; Newborn affected by oth complications of labor and delivery,ICD10_XML,False,4
P03.9,"Fetus and newborn affected by complication of labour and delivery, unspecified","Fetus and newborn affected by complication of labour and delivery, unspecified; Newborn affected by complication of labor and delivery, unspecified; Newborn affected by comp of labor and delivery, unspecified",ICD10_XML,False,4
